"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","REPORT_TYPE","SOURCE","DailyPrecipitation"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T00:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T00:00:00","SOD",,"T"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T00:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T01:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T02:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T03:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T03:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T04:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T05:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T06:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T06:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T07:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T08:35:00","FM-16","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T08:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T09:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T09:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T10:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T11:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T12:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T12:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T13:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T14:39:00","FM-16","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T14:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T15:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T15:21:00","FM-16","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T15:31:00","FM-16","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T15:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T16:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T17:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T18:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T18:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T19:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T20:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T21:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T21:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T22:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-01T23:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T00:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T00:00:00","SOD",,"0.05"
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T00:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T01:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T02:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T03:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T03:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T04:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T05:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T06:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T06:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T07:11:00","FM-16","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T07:52:00","FM-16","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T07:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T08:21:00","FM-16","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T08:34:00","FM-16","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T08:54:00","FM-15","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T09:00:00","FM-12","223",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T09:21:00","FM-16","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T09:41:00","FM-16","343",
"USW00014933","DES MOINES INTERNATIONAL AIRPORT, IA US","41.5338","-93.653","291.7","2025-01-02T09:52:00","FM-16","343",
